gene	TS001	TS002	TS003	TS004	TS005	TS006	TS007	TS008	TS009	TS010	TS011	TS012	TS003-2
ARRDC1	191	370	264	242	82	360	103	113	98	103	138	132	249
ARRDC2	48	88	118	159	98	226	85	105	101	107	71	127	100
ARRDC3	394	417	773	885	708	686	863	990	584	1304	1046	831	834
FAM120AOS	126	221	226	252	226	353	221	280	244	327	236	256	237
KIAA1009	341	660	440	317	49	367	37	51	37	41	44	53	415
ZIC2	40	62	51	34	0	57	0	1	0	0	1	0	61
KIAA0930	651	911	1030	913	770	854	819	794	539	1175	821	980	1089
RABGAP1L	446	756	511	495	143	502	114	184	142	125	156	197	536
ELK3	28	87	135	111	49	193	32	87	81	52	40	59	132
ELK1	177	609	953	867	928	747	1214	1115	845	1968	1721	1357	990
GPHB5	0	2	1	1	0	1	0	0	0	0	0	0	2
ELK4	620	985	882	679	285	720	221	302	208	268	271	259	809
STRADA	583	1349	944	770	223	965	225	257	218	311	302	290	938
STRADB	106	154	143	167	137	210	92	82	82	92	125	165	177
OR4C15	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4C16	0	1	0	0	0	0	0	0	0	0	0	0	0
OR4C11	0	1	0	0	0	0	0	1	0	0	0	0	0
CEP97	163	266	307	164	53	233	83	61	42	115	93	33	378
OR4C13	0	0	1	0	0	0	0	0	0	0	0	0	0
OR4C12	0	0	0	0	0	0	0	0	0	0	0	0	0
LCN15	0	5	4	2	1	8	4	4	0	3	0	4	2
LCN10	37	70	87	140	125	140	127	174	182	108	144	159	70
LCN12	29	30	29	40	23	28	77	32	44	21	31	67	32
TNS3	235	498	728	780	935	641	849	955	856	2106	1163	1052	823
TRAF3IP2	15	34	48	60	67	52	57	59	79	110	100	94	61
TNS1	494	2080	1332	4517	2792	4695	2456	3809	6093	4731	2723	3109	1428
TNS4	3	2	7	2	0	2	1	1	0	1	0	1	0
TMEM194A	211	530	581	483	201	676	198	260	178	265	234	192	602
CD164L2	8	7	3	7	0	2	1	0	0	1	0	0	5
PPP1R11	462	1029	679	536	257	593	255	265	251	484	401	262	733
TMEM213	0	0	0	1	0	2	0	0	2	0	0	0	0
TMEM212	0	4	0	1	0	0	0	0	0	0	0	0	0
TMEM211	0	1	0	3	1	1	0	0	0	0	2	0	6
TMEM194B	166	192	151	135	45	180	59	56	51	98	77	55	192
TMEM217	190	364	194	188	53	173	56	50	38	77	58	66	224
TMEM216	120	188	195	195	105	210	110	106	76	126	128	146	167
SHISA2	28	41	55	52	1	41	11	10	8	23	8	16	61
SHISA3	3	21	2	10	5	21	0	2	1	0	0	4	4
COX10	312	939	497	352	57	344	63	83	45	112	95	79	483
COX11	217	426	277	305	133	336	181	158	128	220	203	189	297
TMEM219	1253	1293	911	985	563	877	675	680	511	873	719	702	973
TMEM218	82	121	109	124	122	158	111	110	116	177	170	115	112
SHISA8	2	4	3	5	0	3	0	2	2	3	2	3	9
COX15	221	456	600	497	515	522	762	866	507	1078	985	687	644
COX16	92	68	63	61	50	65	79	55	33	71	83	53	79
COX17	141	90	99	111	88	124	57	78	54	111	87	71	81
BET1	153	165	202	190	151	237	185	179	133	258	221	158	215
ALCAM	73	162	102	172	57	152	35	76	41	48	39	64	116
TPM4	495	1048	1379	2350	2227	2180	2235	2671	2205	3222	2260	2672	1529
TPM3	781	1059	1547	1482	1569	1395	2260	2210	1365	3158	2518	2244	1664
FBXW8	78	218	321	263	354	273	270	272	191	446	347	247	351
FBXW9	196	348	225	150	34	167	32	32	29	48	65	36	227
FOXB1	1	12	4	8	0	2	1	1	0	0	1	1	4
FOXB2	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXW4	336	464	482	515	410	527	525	512	409	720	617	617	509
FBXW5	3496	8160	5028	4346	693	3392	827	838	705	1095	1075	1006	4881
FBXW7	369	649	681	525	107	722	81	111	103	129	134	116	752
KIAA1683	780	2525	1218	1109	104	541	86	95	70	84	176	123	1201
TGFBR2	78	121	271	537	566	902	379	792	765	427	405	466	286
TGFBR1	404	586	546	474	202	588	187	226	143	211	181	188	569
CDCP2	1	2	2	1	0	3	1	2	0	0	0	0	0
SH3RF2	1990	4196	1732	1521	183	588	178	158	155	408	177	197	1717
SH3RF3	142	389	320	374	41	423	22	67	42	34	52	84	298
SH3RF1	168	269	563	424	497	347	552	530	268	979	795	574	627
TPMT	84	125	215	239	283	205	354	366	230	436	365	343	250
YKT6	736	1178	1115	1032	490	1235	603	677	441	928	720	706	1092
TJP2	848	1509	1451	1192	957	1081	1095	997	843	1716	1257	1049	1601
TJP1	939	2074	2863	2620	2280	2644	2653	2601	1807	4152	2776	2337	2970
TUB	107	371	319	554	386	459	413	326	304	430	433	596	293
TOR1A	142	209	254	323	278	292	346	337	241	447	399	360	290
TOR1B	228	569	338	302	198	362	155	164	129	230	173	158	377
CCT6A	969	1103	1307	1128	642	1419	812	850	552	1086	1015	852	1341
CCT6B	1863	2256	1151	807	28	791	77	73	41	63	82	45	1296
CHCHD1	190	159	157	154	147	160	148	116	95	174	147	151	136
LRRC10B	56	209	66	61	5	30	2	15	14	2	11	8	65
WIBG	289	370	313	254	216	309	271	228	206	435	350	341	332
CANT1	412	796	760	566	537	574	651	496	360	924	724	719	746
TM2D1	198	248	195	151	56	219	79	74	71	150	117	109	193
TM2D2	518	568	490	567	439	570	416	453	343	630	480	407	514
PERP	70	76	211	262	457	185	552	326	162	801	385	452	190
INIP	30	62	90	77	89	86	96	79	69	121	112	76	98
PNKP	127	250	204	243	189	246	273	255	222	353	357	315	229
CD101	8	21	10	10	4	14	3	6	4	8	7	9	20
PER3	192	462	523	643	365	870	161	299	330	268	313	306	576
PER2	285	714	1065	718	730	783	860	1004	565	1408	1016	761	1040
PER1	419	1268	1386	1444	534	1340	1276	1474	1079	1118	1395	807	1393
PNKD	408	642	1190	941	845	1140	893	1245	924	1600	1081	1141	1179
C21orf33	667	738	1015	850	739	896	1044	960	705	1524	1233	1200	989
KAT8	313	479	348	386	211	390	211	256	218	330	323	266	359
ZNF516	817	1932	2221	1970	1422	1830	1829	1896	1272	3032	2102	1795	2089
KAT5	129	438	311	251	95	279	104	123	108	159	176	150	334
KAT7	560	1758	1362	1138	276	1237	315	350	269	490	449	337	1464
PNRC1	481	753	1001	1120	907	929	1043	1889	1096	1785	1623	1121	1093
PNRC2	230	175	326	389	331	365	350	406	255	507	476	420	332
GBA	59	122	154	108	133	181	128	107	116	195	161	152	142
GNAO1	274	682	486	834	469	859	540	368	577	786	642	471	526
MROH2B	789	1426	1053	723	8	522	7	4	5	0	6	3	1253
GAPDH	3871	6463	6068	6596	4733	6325	6289	6852	5086	10396	7198	6465	6001
PROSAPIP1	89	249	272	285	487	285	363	308	164	315	367	411	249
ACN9	153	266	213	186	78	164	68	71	65	141	106	78	238
TSPYL1	842	1172	1570	1401	1280	1443	1440	1406	915	2402	1887	1449	1685
PRLR	22	20	15	29	42	59	37	60	50	51	75	70	19
TMEM79	54	73	66	86	68	82	71	60	62	104	85	89	65
PRLH	1	0	0	0	0	1	0	0	0	0	0	0	0
TMEM70	315	316	369	384	345	329	364	387	257	693	535	452	391
TMEM71	17	27	10	19	2	6	1	6	6	6	3	7	6
TMEM72	7	51	21	13	0	8	0	0	0	0	0	0	18
TMEM74	12	16	11	10	0	9	1	0	0	1	0	4	10
PLVAP	20	49	44	88	18	128	7	15	11	6	13	17	36
FAM86A	52	106	69	68	13	29	16	27	6	33	22	12	67
RPUSD4	250	326	288	281	152	288	165	183	158	264	230	176	278
RPUSD1	89	164	117	126	84	196	80	78	91	69	96	126	114
RPUSD2	81	122	121	108	64	131	49	55	50	101	90	76	115
RPUSD3	437	587	379	301	60	446	60	58	54	111	81	79	387
ZFAT	128	308	237	226	51	211	359	39	35	70	67	48	237
ZNF611	39	160	129	88	54	133	43	78	57	65	51	44	144
ZNF610	141	314	209	175	34	134	40	34	19	42	37	36	253
ZNF613	24	64	58	63	50	44	51	64	38	61	69	59	74
ZNF615	51	114	112	82	97	108	62	92	82	105	89	94	112
ZNF614	122	233	246	167	111	164	74	122	84	150	130	85	269
ZNF616	43	64	83	82	84	103	58	72	46	108	101	79	107
SLC3A2	843	1367	1985	1837	1996	1537	3641	2654	1804	4589	3411	2862	2019
ZNF618	66	266	305	294	187	330	204	283	185	223	247	224	292
SLC3A1	11	23	10	8	1	12	0	2	0	3	0	0	13
EDDM3A	18	19	4	4	0	6	0	0	0	0	0	0	9
MS4A12	2	5	0	1	0	1	0	0	0	0	0	0	3
MS4A13	32	37	13	14	0	8	0	0	0	0	0	0	11
MS4A14	1210	4321	2263	2177	49	784	18	13	21	17	35	22	2380
MS4A15	8	13	12	8	0	10	1	3	0	0	4	0	13
OR1L8	3	14	1	1	1	2	2	0	1	0	1	0	4
OR1L4	0	1	0	0	0	0	0	0	0	0	0	1	0
OR1L6	0	0	0	0	0	0	0	0	0	1	0	0	0
MSRB1	203	259	218	150	50	208	92	73	69	98	100	99	205
MSRB3	73	128	157	401	247	419	181	309	313	416	169	235	212
CTDP1	677	1343	679	544	83	538	150	144	113	202	138	162	701
GMFG	14	26	4	20	10	36	5	7	16	5	8	14	8
GMFB	212	296	385	386	351	448	353	432	271	484	496	399	455
FSCN3	805	2575	1207	986	3	282	6	7	0	2	8	4	1197
FSCN2	2	19	12	13	3	7	1	5	0	3	4	6	14
FSCN1	554	1042	1624	1476	1641	1420	1790	2683	1425	3339	1814	2156	1515
G2E3	418	721	651	432	74	451	100	127	85	132	130	93	707
CAMK1D	48	127	65	66	28	79	46	52	33	93	32	31	62
CAMK1G	8	16	7	34	58	25	30	34	26	42	10	46	7
SMCR8	236	663	750	525	280	640	263	352	240	551	344	294	778
SMCR9	0	0	0	0	0	0	0	0	0	1	0	0	1
SMCR7	72	133	120	133	103	118	69	79	86	101	127	123	105
HIST4H4	0	4	5	2	8	4	7	8	2	19	9	6	11
PLAG1	65	140	123	113	37	138	10	21	42	19	27	25	125
RDH14	6	21	18	15	5	18	15	6	2	24	13	8	19
RDH16	32	53	21	15	1	20	2	5	2	1	2	5	21
RDH10	208	348	262	263	80	260	35	99	53	47	79	81	259
RDH11	525	664	964	1070	1078	888	964	1300	879	1768	1254	1256	965
RDH12	5	8	4	4	3	3	3	2	1	0	3	2	2
CYBASC3	284	418	390	507	417	532	427	360	351	641	691	784	386
MGARP	100	22	14	70	58	96	11	51	44	45	167	218	28
WDR5B	123	201	202	205	235	176	199	172	150	235	199	151	206
NALCN	16	46	16	24	2	38	3	2	9	47	4	3	37
ZSCAN29	477	932	598	559	225	547	117	202	131	190	183	160	664
ZSCAN25	120	322	353	291	188	394	232	218	184	289	265	213	340
ZSCAN26	96	178	173	233	211	246	171	199	159	231	258	182	207
ZSCAN20	23	72	88	55	41	77	49	61	43	60	44	27	90
ZSCAN21	37	88	110	132	80	104	74	115	70	146	137	83	116
ZSCAN22	20	56	63	54	33	56	21	33	18	33	32	31	68
ZSCAN23	13	20	24	18	10	15	8	12	5	28	6	1	30
TDRD9	991	1824	1884	918	8	1715	8	19	7	8	15	26	1927
TDRD3	230	319	232	252	93	314	102	121	101	129	129	107	276
C9orf24	488	925	359	333	5	122	6	4	3	0	12	4	322
TDRD7	755	1375	910	730	93	820	76	63	61	95	81	78	934
TDRD6	1058	1164	1404	840	37	1189	14	20	13	39	43	42	1500
TDRD5	407	646	579	419	12	487	4	7	10	7	5	4	631
WDR55	44	138	195	208	134	205	131	177	151	201	205	162	176
WDR54	403	492	263	184	23	311	17	26	28	26	38	28	252
MBTPS2	67	95	177	190	213	195	257	231	161	406	361	268	212
WDR52	330	788	407	402	195	487	238	215	185	147	278	178	532
MBTPS1	458	802	1038	1071	1180	1125	1128	1015	847	1619	1463	1197	1126
EIF4G3	1582	4935	2964	2645	1073	2397	1117	996	570	1251	1123	920	3220
EIF4G2	3697	5569	7257	6552	4868	7555	5002	5498	3762	7795	6638	5778	7855
EIF4G1	1695	3444	3236	2806	2116	2238	2290	2235	1699	3747	2974	2441	3140
WDR59	234	423	485	524	394	458	416	487	346	575	470	500	510
VRTN	23	125	48	32	0	45	1	1	0	0	0	0	45
MFSD9	23	68	52	55	32	55	21	23	21	32	26	24	47
CD151	426	327	867	1151	1573	1089	1123	1207	979	1684	1183	2088	867
HCST	9	10	13	20	13	20	5	10	10	7	5	10	7
FAM200A	120	208	181	148	84	149	60	62	54	87	87	93	199
FAM200B	236	384	287	326	332	383	307	350	204	306	338	293	292
ABHD14A	43	98	62	89	51	137	63	55	73	99	66	69	92
MFSD6	132	339	209	246	201	276	174	285	200	293	302	250	237
TLK1	659	856	1128	997	663	977	937	808	559	1325	1074	854	1254
TLK2	423	785	491	471	159	519	223	215	161	293	238	198	566
USP54	168	636	750	654	349	736	487	470	385	610	408	445	765
USP53	155	260	574	416	523	388	807	677	375	1054	700	457	620
USP50	60	101	49	25	0	19	1	0	0	3	1	2	54
USP51	44	79	147	136	118	107	139	146	95	226	199	171	126
PRODH	75	67	47	53	4	64	5	10	4	11	9	4	61
ASCC3	275	379	466	332	146	469	160	176	133	315	255	148	499
ASCC2	551	1346	826	700	315	747	453	476	365	602	558	505	769
ASCC1	241	388	397	399	222	390	259	292	155	356	243	289	437
HPGD	15	23	11	11	16	36	3	26	8	11	25	44	20
CACNB3	75	176	181	274	178	280	81	142	107	125	129	195	184
CACNB2	15	46	66	70	44	96	40	76	62	66	90	67	48
CACNB1	143	312	317	516	757	474	919	795	434	503	890	744	350
CACNB4	103	163	472	356	534	250	1035	907	518	931	749	490	508
ZNF518B	278	527	735	446	531	594	399	393	307	746	493	410	768
ZNF518A	601	1088	2042	1206	1009	1351	1354	1275	750	1462	1328	781	2343
TGFBRAP1	3	37	50	60	72	68	61	57	64	96	103	61	61
ANKZF1	182	368	245	363	227	397	162	265	192	202	242	292	266
B3GALNT2	149	335	281	313	163	441	136	142	84	149	114	144	346
B3GALNT1	160	222	243	238	94	259	99	135	159	295	121	140	257
TACC1	531	1074	2186	2037	2161	2389	2296	2528	1949	4160	2786	2141	2372
TACC2	82	181	202	135	50	213	27	53	69	57	43	66	185
TACC3	1046	1814	1099	881	41	1142	44	54	32	64	48	57	1136
JDP2	40	52	26	98	113	143	50	106	111	81	81	138	44
NHP2	394	443	356	278	179	343	200	159	155	302	293	243	317
KIF20B	229	385	371	198	24	315	31	49	20	44	44	30	428
KIF20A	132	372	306	173	5	284	1	6	0	0	3	6	363
MKI67	113	446	323	248	5	322	4	11	1	3	2	3	350
RPL3L	44	85	76	51	0	53	1	2	0	0	0	0	83
GNAT1	17	28	19	15	0	11	0	0	0	0	0	1	10
GNAT3	4	4	2	1	0	1	0	0	0	0	0	0	1
GNAT2	17	39	15	14	2	20	1	1	1	2	1	3	25
ZNF556	4	9	24	7	16	8	6	6	17	57	27	6	23
ZNF557	86	182	201	188	77	195	140	142	116	184	139	128	220
ZNF554	50	125	107	97	42	115	40	41	41	61	38	48	110
ZNF555	179	387	215	198	46	190	12	28	37	44	62	38	215
ZNF552	30	53	55	50	26	70	49	63	31	41	48	42	55
ZNF550	7	35	41	31	17	35	10	19	12	27	23	26	48
ZNF551	46	137	181	132	70	132	75	70	66	114	96	53	195
ADRM1	1058	1698	1150	1089	327	1217	394	385	297	534	502	476	1162
ZNF558	69	188	196	192	182	229	142	202	99	185	178	139	212
ZNF559	130	205	268	296	236	300	256	312	217	332	301	268	269
DEFB126	0	1	0	0	0	0	0	0	1	0	0	0	0
CACNG2	4	13	6	4	1	4	0	1	0	0	2	0	3
PCDH8	32	49	27	29	2	16	3	8	3	9	1	4	14
PCDH9	20	59	38	53	9	50	11	17	10	3	28	10	46
DEFB124	10	8	6	4	3	8	1	9	4	5	1	4	5
RPL26L1	258	336	183	156	42	169	37	37	35	83	64	48	188
RPL38	825	797	666	654	534	762	544	503	423	667	715	546	707
RPL39	24	25	9	34	39	37	31	28	29	38	40	29	24
RPL36	831	766	685	959	845	916	930	862	764	1182	1183	1160	706
RPL37	1306	1168	967	1334	1364	1378	1398	1322	1102	1775	1590	1408	971
RPL34	516	466	375	501	373	502	359	436	338	440	501	505	347
RPL35	1107	1099	843	974	584	1157	583	645	592	739	708	774	796
RPL32	1416	1589	1270	1562	1222	1809	1153	1352	1160	1625	1434	1341	1295
RPL30	1809	2013	1708	2231	1715	2006	1638	1960	1724	2756	2702	2372	1852
RPL31	936	1217	939	1186	913	1023	856	1030	936	1175	1331	1182	882
CACNG6	24	44	34	32	0	81	1	0	0	1	0	2	27
ATF5	357	716	587	562	337	484	559	566	486	692	800	574	539
ATF4	1070	1298	1329	1660	1183	2100	1369	2224	1429	1757	1790	1709	1292
ATF7	138	541	705	695	731	682	728	839	699	1255	928	792	734
ATF6	338	632	785	587	508	563	705	645	469	1054	904	642	785
ATF1	76	87	107	91	99	155	97	125	89	147	157	132	147
ATF3	37	34	145	385	46	77	60	1493	230	495	224	42	173
ATF2	387	711	725	681	426	741	447	492	333	692	586	502	817
PPAP2C	97	122	132	106	2	144	0	10	2	2	3	3	122
PPAP2B	310	581	398	1790	2075	4319	732	1233	1729	1431	1946	2458	387
PPAP2A	118	261	144	220	123	341	94	132	146	107	164	123	157
BUB1B	388	877	712	482	13	806	18	24	12	24	28	14	788
CTTNBP2	20	24	31	32	17	34	6	12	10	13	11	19	36
KIAA0317	522	1056	1177	1109	635	1163	852	658	523	1190	914	806	1201
PPWD1	249	406	402	408	207	418	258	310	203	260	259	249	431
KIAA0319	45	129	82	57	5	58	7	12	6	22	8	6	87
SDF4	1233	1832	1588	1368	741	1762	917	845	678	1519	1091	1071	1525
SDF2	254	260	314	365	327	388	394	375	280	644	413	451	341
PTGER4	79	133	101	97	29	68	19	72	21	11	18	18	113
PTGER1	2	4	2	4	2	5	1	1	3	6	3	1	5
PTGER2	27	49	123	131	21	92	78	37	51	204	103	60	111
PTGER3	5	7	4	9	5	12	4	11	4	1	7	3	13
B3GALTL	129	177	213	238	149	221	231	184	127	230	199	181	238
B3GALT4	428	719	279	327	23	271	11	26	39	28	19	28	291
B3GALT5	0	17	13	7	0	6	1	0	0	1	0	0	12
B3GALT6	157	188	253	237	156	262	236	178	147	312	300	279	210
CTNNAL1	510	482	705	673	654	720	826	861	481	1453	1071	978	857
B3GALT1	5	9	14	8	4	7	6	6	10	6	2	3	5
B3GALT2	15	12	4	47	25	69	10	22	33	25	32	14	8
MDFIC	21	24	47	99	64	83	49	97	77	64	53	89	60
STK3	226	268	278	340	283	394	265	301	204	348	337	299	249
STK4	294	560	686	603	417	712	423	513	320	680	553	444	706
OR13C4	0	1	0	1	0	0	0	0	0	0	0	0	0
OR13C5	1	0	0	0	0	0	1	0	0	0	0	0	0
OR13C2	0	0	0	0	0	0	0	0	0	0	0	0	1
OR13C3	2	12	10	2	0	0	0	0	0	0	0	0	6
OR13C8	0	0	0	0	0	0	0	0	0	0	0	0	0
OR13C9	0	0	0	1	0	1	1	0	0	0	0	0	0
SNRNP25	140	124	72	80	80	98	65	62	52	79	115	73	91
SNRNP27	139	202	192	190	113	192	161	165	113	260	182	197	203
NKG7	5	7	3	8	5	9	5	9	2	2	1	3	1
DRP2	11	41	41	51	9	60	11	9	21	56	14	12	46
ANKS3	160	235	188	247	148	304	104	177	143	159	181	166	196
TNFRSF8	47	83	46	62	4	59	6	4	1	8	1	33	44
TNFRSF9	3	3	3	1	2	5	2	1	0	2	2	2	9
ANKS6	175	420	376	390	157	446	227	209	151	225	240	206	398
TNFRSF4	2	2	6	12	6	19	5	11	12	8	1	3	7
GUCY2C	3	5	10	12	4	7	7	6	5	8	6	3	12
GUCY2D	18	65	25	18	1	7	0	0	0	0	0	0	32
GUCY2F	4	2	4	0	0	1	1	3	1	0	0	0	3
SENP8	88	232	158	128	63	81	52	44	43	69	50	63	181
SENP7	136	169	273	313	265	378	306	391	206	275	315	239	333
FIBCD1	83	169	287	315	280	263	286	411	461	751	504	330	275
SENP5	433	942	952	812	426	1003	585	666	476	786	737	541	1046
SENP3	234	268	236	175	71	270	74	58	54	95	73	71	240
SENP2	1064	1737	1271	979	267	1142	238	320	213	424	331	280	1391
SENP1	1281	2780	2306	1534	133	2048	151	151	131	219	200	134	2506
SAMM50	320	453	362	349	217	339	273	218	187	391	329	281	392
SNPH	77	268	158	165	138	117	90	86	95	109	114	129	174
NOTUM	50	70	71	66	0	113	1	0	0	0	1	1	51
INS	0	0	0	0	0	0	0	0	0	0	0	0	0
BHLHE40	148	295	871	774	381	558	413	1731	1184	1010	1003	474	894
GFPT1	1109	1683	1405	1015	319	1502	253	381	188	435	346	297	1708
ECHDC3	90	220	271	215	287	182	320	299	228	516	376	446	270
ECHDC2	387	524	570	721	535	640	802	828	778	869	850	877	596
ECHDC1	242	377	316	360	268	351	328	389	253	570	439	430	377
SLC2A14	246	862	648	328	4	470	3	4	4	4	12	11	621
SLC2A13	57	106	97	81	44	78	104	63	63	93	123	43	89
SLC2A12	50	54	69	69	29	106	40	50	37	60	61	43	91
SLC2A11	31	91	105	133	136	82	123	131	87	165	134	121	109
SLC2A10	33	43	67	136	139	154	80	133	115	134	143	217	74
BSX	0	1	0	1	0	1	0	0	0	1	0	0	0
RPL23A	293	238	230	234	220	279	216	236	224	298	294	236	202
BSN	175	963	725	418	260	460	328	329	199	410	373	315	692
LCOR	131	293	459	310	229	452	228	294	163	311	282	209	527
BSG	5497	9262	8927	8042	5636	9661	7307	6037	4292	11859	7164	7389	8770
P4HTM	295	521	423	462	395	375	435	434	379	571	525	500	424
GSG2	112	449	287	193	9	203	10	12	5	13	19	11	272
GSG1	2931	6358	2389	2479	10	889	17	13	14	9	29	11	2569
PLSCR2	116	136	117	108	3	27	2	3	3	2	1	2	107
PLSCR3	0	5	0	3	2	1	2	0	0	3	2	1	4
OXTR	12	18	14	35	22	37	9	29	8	10	20	17	22
SARS	678	927	993	926	775	1080	804	808	800	1583	1145	1098	958
NCKAP1L	16	35	29	42	34	58	18	30	22	25	31	45	27
GEN1	370	596	750	553	328	702	397	784	448	506	387	310	864
EPS8	163	312	401	386	297	555	284	496	307	519	524	393	449
PARM1	216	480	592	1182	815	1313	488	684	791	1019	668	1105	660
HERPUD2	364	680	583	521	274	494	307	362	262	548	415	352	576
HERPUD1	367	444	473	647	470	588	545	687	407	803	673	611	481
FCGRT	273	427	225	542	447	916	190	400	480	365	433	674	238
TRA2A	575	590	795	728	649	951	608	791	551	791	809	738	742
TRA2B	913	1379	1250	1144	693	1392	731	871	579	984	929	814	1351
BRMS1L	92	145	134	139	61	170	80	74	55	100	77	84	142
BAAT	1	4	1	5	1	6	3	1	1	3	0	3	1
TPSD1	6	7	2	20	28	39	9	11	1	8	10	3	3
SFTPD	4	13	11	11	13	15	12	6	5	6	15	9	16
SFTPB	4	4	1	4	2	2	3	3	0	2	2	3	1
DLG1	281	519	590	540	416	678	376	410	257	499	478	393	649
DNTTIP1	189	251	174	136	46	189	55	56	34	87	68	84	161
DNTTIP2	456	687	633	544	261	665	254	302	183	472	379	294	663
PRAMEF22	0	0	0	0	0	1	0	0	0	0	0	0	0
PRAMEF21	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0	0	0	0	0	0	0	0
TSC22D1	2007	3528	3227	2943	1890	2699	2346	2384	1813	4025	2808	2348	3497
TSC22D3	279	412	187	703	394	1462	453	1001	746	772	996	804	227
TSC22D2	265	633	771	536	266	697	266	325	161	394	377	241	741
TSC22D4	388	524	912	785	996	760	1275	1192	917	1893	1577	1413	883
KIAA1161	10	32	26	38	61	48	24	36	44	49	39	47	24
CNFN	12	13	7	5	1	6	1	1	0	1	3	5	11
CD2BP2	493	774	793	813	636	848	768	682	429	1055	839	869	837
GRASP	34	58	34	123	69	131	41	134	86	52	47	85	31
KATNA1	639	829	500	437	151	496	167	164	125	294	208	204	525
ADAMTSL2	47	90	71	89	24	127	38	31	78	77	61	43	68
ADAMTSL3	76	194	141	129	79	169	23	94	42	76	115	117	155
ADAMTSL1	30	96	60	54	17	94	17	26	19	37	43	17	55
ADAMTSL4	58	118	81	168	137	361	40	120	98	134	110	315	87
ADAMTSL5	29	67	55	124	64	143	49	118	120	151	65	104	47
C6orf141	22	45	118	87	209	71	150	198	127	242	207	180	116
COA6	87	48	67	51	54	90	49	69	44	78	74	51	70
BST2	178	170	78	443	376	653	243	317	412	364	267	509	89
KIAA0895L	357	989	689	977	733	771	566	705	578	657	701	816	634
SARDH	16	11	17	26	29	48	21	32	31	32	35	26	15
EEF1E1	160	156	116	90	39	138	52	57	34	83	57	68	122
CYP1B1	144	196	161	623	454	481	318	641	353	473	353	581	177
HAS1	6	13	4	8	3	15	4	5	3	2	0	4	4
HAS2	31	72	52	24	1	31	0	2	2	0	2	4	53
HAS3	43	136	112	137	138	114	202	165	96	159	132	109	125
ARSF	2	3	0	1	0	1	0	1	0	2	0	1	1
ARSG	21	48	85	91	88	67	141	106	62	208	118	138	72
C12orf66	38	82	91	61	48	64	51	30	46	94	70	53	99
KNSTRN	684	1445	643	482	29	453	41	39	21	52	59	34	700
C12orf65	145	312	233	215	87	259	89	87	58	122	121	109	259
IRS4	0	1	5	1	0	1	0	0	1	0	0	0	1
IRS1	29	42	37	110	93	87	42	107	95	87	99	112	37
IRS2	192	230	464	341	408	370	485	559	299	893	690	514	476
CA3	26	42	26	20	9	11	5	11	4	7	6	3	28
CA2	362	522	206	244	22	71	52	29	0	38	17	30	208
NEURL	202	716	294	240	56	280	29	64	38	52	45	63	232
ARSH	0	1	1	0	0	0	0	0	0	0	0	0	0
CA6	0	1	0	1	0	0	0	1	0	0	0	0	1
LY6G6F	29	31	14	17	0	12	0	0	0	0	1	0	16
HMGCL	221	201	270	266	272	255	307	244	261	591	401	384	289
CA4	3	1	11	6	25	15	18	9	34	18	4	12	11
RGL1	296	656	855	900	567	913	842	764	681	1376	823	812	939
RGL3	12	15	15	58	14	44	9	23	14	14	46	172	9
RGL2	370	660	601	664	489	876	410	450	440	435	551	597	615
RGL4	61	251	180	201	168	223	87	118	113	99	132	128	178
OR10Q1	0	0	1	1	1	1	0	1	0	0	2	1	0
NFKBIL1	183	209	267	248	234	259	242	244	210	363	304	279	255
AMD1	528	683	952	771	623	1007	716	891	608	1536	1048	681	1094
PMF1	71	80	90	107	72	134	71	81	78	116	102	122	74
RAPSN	4	10	2	3	3	3	5	3	2	1	3	2	3
ZNF790	68	123	82	79	46	43	47	64	46	65	62	34	86
ZNF791	11	37	80	69	75	82	89	102	72	125	151	59	88
ZNF792	32	23	33	42	30	52	21	27	35	38	30	26	36
ZNF793	74	139	304	231	266	262	339	508	396	472	383	275	370
ZNF799	15	58	52	43	24	54	22	30	23	27	35	29	56
PPP1R7	1561	2237	1097	990	122	854	106	145	119	184	163	156	1182
PPP1R2	663	1074	866	731	238	885	285	295	241	415	373	300	962
CYP4F12	7	20	13	14	5	32	4	6	9	4	5	8	11
CYP4F11	5	8	9	27	17	61	79	39	34	350	70	18	4
PPP1R8	329	590	590	556	304	566	407	440	306	616	519	513	645
TRPV5	3	10	7	6	7	12	11	12	2	18	16	1	14
TRPV4	20	39	36	25	5	29	4	3	3	2	0	8	33
TRPV6	62	198	50	42	9	53	21	12	12	18	12	7	55
TRPV1	52	154	168	208	131	202	109	136	162	170	139	229	151
TRPV3	106	220	465	419	481	359	742	430	491	815	265	689	417
TRPV2	23	35	46	82	192	62	47	69	84	111	49	40	37
IARS	452	773	1039	868	648	1077	776	925	646	1248	948	793	1168
POSTN	6	51	8	73	18	196	21	28	73	20	12	33	8
FGFR4	113	170	107	97	18	199	18	26	17	27	55	24	126
FLJ44313	16	29	23	23	17	39	14	21	12	23	18	16	32
FGFR2	137	251	253	293	19	238	40	130	129	67	51	113	293
FGFR3	684	1426	1051	1034	8	1211	9	10	11	9	10	13	1111
