gene	TS001	TS002	TS003	TS004	TS005	TS007	TS008	TS009	TS010	TS011	TS012
TCF7	71	149	131	130	22	12	18	9	14	12	21
TCF3	1205	2160	2073	1829	278	252	242	223	258	369	322
AFP	4	0	1	3	2	2	0	1	1	1	0
STK32C	171	220	165	174	23	47	37	35	47	49	30
STK32B	140	360	204	226	5	4	8	3	2	0	8
STK32A	7	4	2	3	5	4	9	7	11	10	8
PPP5C	190	347	372	315	166	184	180	162	223	234	219
RPL17-C18orf32	0	0	0	0	0	0	0	0	0	0	0
ISLR2	283	636	263	338	9	7	21	25	23	8	9
MDN1	234	803	1682	982	961	1166	1108	964	2329	1301	933
AMPD3	40	48	46	92	129	82	107	58	91	203	100
AMPD2	220	465	394	447	392	300	457	298	622	439	472
AMPD1	4	4	0	18	0	0	0	0	0	0	7
AREG	2	1	1	2	0	0	0	1	0	0	0
MRGPRX4	0	1	0	2	0	0	0	0	0	0	0
MRGPRX1	0	0	0	0	0	0	0	0	0	0	1
MRGPRX3	1	4	4	0	0	1	0	1	0	0	0
MRGPRX2	2	8	2	2	2	1	5	0	0	0	8
UTP18	731	1032	707	497	133	104	134	104	196	185	164
TET1	7	18	17	21	17	20	23	22	24	33	23
TET3	73	241	260	221	66	39	74	54	80	68	54
TET2	46	54	107	135	167	122	143	103	184	175	138
TMEM52B	7	18	16	4	5	0	3	3	0	1	2
PCBD2	39	52	80	73	53	118	107	63	117	108	99
PRDX6	1706	1814	3141	3270	2981	4521	3957	2869	6965	5079	4445
PRDX5	1192	1160	834	863	583	604	597	517	887	867	825
PRDX4	577	809	498	603	585	323	458	336	765	561	683
PRDX2	192	171	190	389	394	334	341	381	488	433	495
PRDX1	845	716	1131	1332	1165	1290	1112	887	1709	1407	1425
AP3S2	6	8	19	7	7	6	11	9	14	20	12
AP3S1	419	514	437	547	347	368	343	276	656	445	435
PITX2	8	9	32	14	0	0	1	0	1	0	1
PITX3	8	19	4	6	0	0	0	0	1	0	0
PITX1	26	57	31	37	0	1	1	0	0	0	1
AXIN2	143	366	352	330	37	28	38	64	64	56	82
AXIN1	241	574	376	389	167	125	142	147	210	208	249
MMRN2	59	66	111	215	179	103	270	311	122	108	168
MMRN1	85	352	194	204	3	4	77	32	26	22	27
CSTB	315	461	567	693	548	713	573	702	1305	954	1041
NRDE2	118	216	255	231	142	226	185	154	278	266	210
RDH13	69	176	140	103	75	77	83	70	92	98	70
IGLON5	90	247	258	229	6	9	18	9	17	9	23
ABRA	91	91	67	37	0	0	1	1	0	1	0
CD38	4	14	6	5	2	1	0	1	0	2	1
TSSK1B	983	2638	849	965	3	4	2	2	1	11	3
ZFX	118	204	416	391	343	379	374	287	517	524	358
CD33	2	9	3	13	19	7	10	6	5	15	17
CD34	224	316	378	698	697	525	959	1282	829	591	698
CD36	41	65	102	129	160	105	192	464	80	119	100
CD37	48	72	25	50	31	9	23	17	15	13	27
APCDD1	53	64	77	182	171	60	138	169	93	111	135
TOPORS	336	617	649	544	399	423	451	257	610	529	407
R3HDML	8	17	6	8	6	3	13	3	6	9	3
PSD2	19	60	78	44	12	6	9	6	5	5	14
PSD4	67	133	315	114	434	439	708	292	924	486	641
R3HDM4	125	149	184	231	315	307	305	219	503	332	302
R3HDM1	375	958	900	727	440	509	535	457	853	623	418
R3HDM2	289	822	995	948	850	937	1055	849	1362	1289	952
ORMDL2	206	317	223	180	81	101	96	61	158	102	82
ORMDL3	704	1284	946	909	579	560	573	440	865	654	702
ORMDL1	558	695	746	789	737	900	976	707	1126	1003	837
CD3D	4	3	1	10	1	0	3	0	1	1	4
CD3E	7	5	0	11	2	1	7	1	4	1	11
CD3G	1	2	0	1	0	0	2	1	0	0	2
ACADS	342	609	301	225	105	68	80	76	119	118	124
KAT2B	48	110	89	107	84	67	85	74	58	64	105
KAT2A	406	723	977	1590	1443	1451	1553	1322	1496	1768	1702
SEC16A	745	1762	2104	1509	1011	1103	950	899	1681	1367	1015
SEC16B	33	67	61	105	83	72	108	92	87	113	108
ACADL	26	54	21	64	44	36	50	60	31	44	61
ACADM	429	528	704	631	288	356	316	242	498	453	437
SUCO	739	1092	1571	1213	1015	1702	1477	931	2335	1700	1277
OR9K2	0	0	0	0	0	0	0	0	0	0	0
NFE2	8	35	13	7	2	2	1	1	3	6	1
MADCAM1	9	22	10	8	8	2	5	5	14	5	5
KCNK13	156	288	478	531	632	791	616	537	1446	856	1026
KCNK10	34	54	64	47	3	3	2	3	1	1	2
ZC2HC1A	111	147	147	149	75	73	78	71	66	94	80
AMIGO3	39	111	156	184	187	248	250	266	323	322	287
ATOX1	207	205	217	231	184	226	226	143	268	219	222
ACAD8	135	228	267	283	218	263	270	175	417	314	287
ACAD9	225	382	411	325	209	239	302	265	376	359	292
UEVLD	29	81	91	79	98	104	132	80	132	113	99
ADAMTS10	35	86	27	78	63	41	87	66	58	49	62
ADAMTS13	186	590	368	327	76	78	82	60	71	91	119
ADAMTS12	11	54	25	55	24	10	25	15	19	31	24
PLCE1	49	165	98	137	181	72	148	72	61	93	72
ADAMTS14	12	28	19	32	12	3	19	2	14	19	30
ADAMTS17	85	184	156	175	30	14	30	18	19	29	56
ADAMTS16	6	7	9	6	12	2	5	3	7	5	5
ADAMTS19	7	7	8	6	1	1	0	2	0	0	0
ADAMTS18	3	16	25	9	0	11	12	11	26	5	4
DEF6	508	955	288	309	55	44	35	29	26	27	63
DEF8	130	266	213	358	301	192	257	246	229	274	329
GALT	40	90	87	122	172	139	164	132	121	177	167
GALP	0	3	0	0	0	0	0	0	0	0	0
SORD	32	52	101	94	130	151	181	144	390	227	164
GALE	54	132	71	82	58	58	42	41	69	73	71
GALC	529	807	818	729	696	728	785	475	1098	1134	734
GALM	59	80	78	177	149	86	144	208	166	125	191
CSNK2B	1927	2136	1474	1307	399	515	514	405	691	594	571
FCGR3A	14	31	14	69	90	27	53	53	35	42	56
FCGR3B	1	2	0	2	0	0	3	0	0	0	1
ALDH1A1	1720	1623	3712	3826	4481	5831	4558	3276	9218	6255	5399
ALDH1A2	919	2547	1579	1368	34	87	163	192	181	59	47
ALDH1A3	175	445	210	1043	1164	660	833	1036	964	1126	1492
MRPS6	445	415	611	630	510	747	654	431	1036	745	752
LOC100132247	3	28	34	66	30	77	87	86	52	42	76
EYA4	72	158	108	87	0	1	10	2	2	4	6
EYA1	24	38	41	30	4	2	0	1	0	2	3
TDRD1	216	504	502	340	5	2	4	3	9	8	6
EYA3	296	647	703	591	258	252	265	222	399	282	299
EYA2	90	143	188	112	7	12	11	105	82	31	23
SMARCB1	743	1323	1189	976	364	438	370	286	643	559	514
PIEZO2	60	107	39	50	5	2	3	2	1	7	3
PIEZO1	82	294	224	309	146	82	233	170	148	125	159
KRTAP13-4	0	0	0	0	0	0	0	0	0	0	0
KRTAP13-1	1	5	0	1	0	0	0	0	0	0	0
KRTAP13-2	1	1	1	0	0	0	0	0	0	0	0
KRTAP13-3	0	0	0	0	0	0	0	0	0	0	0
WFDC11	16	37	14	8	1	0	0	0	1	0	0
WFDC13	0	12	7	1	0	0	0	0	0	0	0
WFDC12	1	3	1	2	0	0	0	1	0	0	0
FAM26F	73	60	35	31	32	32	8	18	46	13	30
FAM26D	5	5	0	0	0	0	0	0	0	0	0
FAM26E	32	35	51	88	105	134	107	99	186	159	110
FXYD6	988	1621	1930	2378	1340	2160	2360	2527	4215	3669	3028
FXYD7	9	14	6	4	1	1	0	2	0	1	1
FXYD4	5	7	11	4	1	0	0	1	0	0	1
FXYD5	21	31	22	93	51	29	69	68	33	31	53
FXYD2	0	0	1	0	0	0	1	0	0	0	0
MTBP	64	135	115	84	35	43	57	30	28	73	37
FXYD1	7	5	6	15	6	7	9	22	18	28	32
MAFK	140	273	215	270	98	55	182	113	103	112	115
LOC100129520	14	60	57	27	0	0	1	0	0	0	0
MAFA	95	96	107	70	0	3	1	1	3	4	0
MAFB	61	64	56	181	139	99	245	145	143	125	251
IGFN1	86	290	119	1143	556	454	858	920	1120	646	985
MAFF	15	34	52	61	25	29	168	44	68	57	35
MAFG	334	1028	797	621	380	292	379	265	471	375	376
RBPJ	741	977	1139	1001	406	358	424	304	537	442	396
CCR10	19	19	33	34	43	62	50	69	92	83	50
RBP1	484	166	351	449	515	683	597	381	995	1027	981
RBP2	0	3	2	1	0	1	1	0	1	2	4
RBP3	2	3	4	1	0	0	0	0	0	0	0
RBP4	18	23	35	30	15	4	2	4	3	5	6
RBP5	17	17	16	22	22	8	11	24	21	19	20
RBP7	25	56	32	53	37	34	68	100	24	26	16
WDR53	722	1470	492	413	41	38	37	46	69	61	45
OR51A4	0	0	0	0	0	0	0	0	0	0	0
OR51A7	0	2	0	1	0	0	1	0	0	0	0
MAF1	967	1646	1195	911	314	399	388	384	584	507	521
CHTF8	384	925	973	890	657	493	531	430	1020	706	698
ANXA2R	13	15	15	29	9	13	11	8	13	11	8
G6PC3	355	591	537	586	440	700	480	367	846	682	677
G6PC2	25	49	30	17	0	2	2	0	2	1	2
CTIF	191	523	391	682	505	334	520	619	687	596	655
CYGB	42	56	38	66	127	58	108	112	85	105	222
TSC2	637	2142	1840	1439	752	768	795	610	945	964	832
RNF20	689	1118	665	672	320	336	325	237	525	422	358
TSC1	515	1102	1357	1192	1008	1029	1132	882	1386	1126	962
RCN3	194	197	111	260	145	81	176	271	141	139	218
RCN2	1483	1608	1377	1059	270	346	387	189	396	483	380
RCN1	227	311	265	413	480	522	387	330	802	394	569
RHOQ	101	198	227	358	242	185	286	255	288	235	291
PSG9	0	1	0	0	1	0	0	1	0	0	0
RHOV	2	5	4	5	2	4	4	3	5	7	4
OR52A5	0	1	2	0	0	0	0	0	0	0	0
RHOJ	19	48	72	215	275	210	256	246	273	238	290
RHOH	7	6	5	8	4	6	2	2	0	3	3
RHOC	882	935	1361	1454	1635	1817	1743	1366	2626	1965	2210
RHOB	533	685	1907	1890	1828	3031	8323	3841	4721	3611	2285
RHOA	1969	2652	2513	3198	1983	1854	2126	1880	2564	2352	2485
RHOG	97	179	203	274	236	243	244	211	388	279	278
SUV420H1	478	799	791	751	396	359	414	323	557	455	419
SUV420H2	140	198	206	224	229	230	202	190	272	268	245
RHOD	36	47	41	43	20	21	17	27	32	24	26
LOC100130480	0	0	0	0	0	0	0	0	0	0	0
CIR1	507	697	438	451	168	177	221	191	269	244	258
PYROXD2	42	89	148	159	190	144	166	154	198	174	193
OGFOD1	189	301	334	301	192	185	216	163	309	255	206
OGFOD3	124	161	200	190	182	203	187	143	312	233	253
OGFOD2	416	558	429	446	183	216	211	161	311	306	251
CTNNA3	95	175	47	80	8	15	16	9	28	14	14
ZNF488	24	43	45	37	5	6	2	1	5	2	4
COMMD3-BMI1	0	0	0	0	0	0	0	0	0	0	0
RASGRF1	5	29	26	16	1	3	3	2	0	2	8
RASGRF2	48	92	72	101	68	40	70	61	62	35	67
ZNF480	34	73	103	86	66	63	87	51	123	109	66
MEIG1	61	94	46	25	1	3	1	1	0	1	1
ZNF483	103	149	113	80	5	6	9	2	13	7	8
ZNF484	22	78	74	59	68	79	88	66	99	93	47
ZNF485	69	90	71	45	15	9	15	9	28	30	21
ZNF486	17	30	47	54	35	41	40	42	36	37	39
NCS1	72	126	123	143	39	10	51	24	30	32	36
WBSCR17	88	228	246	255	137	44	66	76	123	20	83
PRPF19	353	544	633	661	357	432	415	346	663	529	522
PRPF18	210	270	197	197	51	59	72	39	89	86	61
HIGD1A	388	456	565	445	310	403	413	263	591	472	434
HIGD1C	0	5	0	0	0	3	0	0	1	0	0
HIGD1B	4	5	3	11	9	10	19	13	7	7	4
IDNK	30	52	50	93	78	113	87	72	126	78	130
FAM179A	41	103	69	30	6	15	21	8	7	2	9
FAM179B	161	308	356	243	261	219	243	179	329	278	211
TRAF1	59	95	79	167	165	137	198	164	209	192	223
TRAF2	231	283	308	263	69	49	50	61	71	54	92
CPXCR1	104	177	60	70	0	0	0	0	0	0	0
TRAF4	278	526	411	458	300	562	464	278	574	448	458
TRAF5	126	328	274	444	266	303	309	363	431	278	352
TRAF6	198	319	426	377	318	344	356	316	634	432	322
TRAF7	196	404	377	397	229	195	233	189	350	366	293
ESD	305	366	341	406	332	314	379	372	517	481	357
LTA	24	42	36	43	1	1	2	0	3	0	2
DSPP	1	6	0	0	1	1	1	2	1	0	0
METTL18	75	108	99	76	59	42	62	40	88	109	80
METTL12	14	9	19	27	12	9	11	9	13	19	17
METTL13	334	612	784	684	568	650	622	476	1373	940	716
METTL10	221	282	268	206	76	76	130	62	92	107	97
METTL16	254	508	449	422	421	489	482	329	725	668	429
METTL17	277	452	372	412	289	384	373	256	395	406	413
METTL14	187	324	319	239	150	166	188	123	231	220	159
METTL15	29	47	42	55	58	36	69	40	77	73	45
NPR1	21	41	42	67	43	38	53	91	51	45	43
NPR2	98	176	190	210	157	130	157	167	198	199	191
NPR3	49	48	25	76	99	38	109	59	22	66	121
TMEM184A	44	80	290	221	229	203	466	336	360	405	115
TMEM184B	170	287	396	470	471	466	462	321	629	440	565
TMEM184C	95	255	280	278	244	270	280	186	471	375	338
OR5A2	1	0	0	0	0	1	0	0	0	0	0
OR5A1	0	0	0	6	0	0	0	0	0	0	0
RPS17L	0	0	0	0	0	0	0	0	0	0	0
NUAK2	40	78	128	155	198	250	448	145	378	287	218
POLR1A	156	417	554	438	239	352	294	319	478	352	326
POLR1B	417	852	541	456	176	188	273	121	342	273	174
POLR1C	197	318	221	197	84	98	93	70	126	102	94
POLR1D	1133	1968	1068	1244	442	509	529	425	674	691	566
POLR1E	123	166	160	152	107	123	114	92	153	94	132
DUS1L	624	1255	749	688	343	401	421	297	466	495	466
CXorf51B	0	0	0	0	0	0	0	0	0	0	0
CXorf51A	0	0	0	0	0	0	0	0	0	0	0
NR1H4	3	4	7	8	4	5	3	0	0	3	8
GRM5	20	95	20	33	0	0	4	1	1	0	1
GRM6	24	67	34	51	11	12	14	14	16	13	13
GRM7	27	82	18	33	2	0	0	1	3	1	0
GRM1	11	33	38	22	10	13	14	5	20	25	15
GRM2	107	516	335	206	45	51	40	69	44	63	28
GRM3	22	67	24	16	3	0	1	6	2	1	5
HOXB8	11	16	41	28	0	0	1	1	0	0	2
HOXB9	3	15	21	8	0	0	1	0	0	0	0
HOXB2	60	86	88	50	10	6	24	9	3	10	7
HOXB3	186	308	343	263	16	5	22	9	6	10	17
HOXB1	0	2	2	4	0	0	0	1	0	0	0
HOXB6	10	17	40	24	0	0	1	0	0	0	0
HOXB7	42	33	49	57	2	1	2	0	2	2	5
HOXB4	27	45	67	56	2	1	0	1	1	2	2
HOXB5	12	19	43	25	0	0	0	1	1	0	2
SPDEF	5	13	6	10	0	2	0	1	1	4	3
MAGOHB	52	60	95	67	55	64	62	49	94	69	71
OR4E2	0	2	0	0	0	0	0	0	0	0	0
CTAG2	31	60	27	45	0	0	11	0	0	0	0
DYRK3	830	1644	750	649	13	9	13	8	9	17	11
DYRK2	93	174	254	207	247	217	278	109	313	292	244
DYRK4	616	1180	574	562	109	88	99	106	137	139	118
KIAA0947	282	465	711	482	339	364	348	234	500	429	285
NR2F6	204	326	376	325	290	300	316	252	476	309	423
NR2F1	26	57	54	101	56	9	72	44	49	84	122
NR2F2	325	455	375	1541	1216	665	1522	1611	1263	1199	1658
ELL3	377	812	373	328	39	33	73	50	85	74	58
ELL2	431	508	941	747	700	1015	1073	630	1562	1091	924
OR4C46	0	0	0	0	1	0	0	0	0	0	0
OR4C45	0	0	0	0	0	0	0	0	0	0	0
CEP44	221	388	284	236	150	104	147	106	164	166	146
CEP41	588	1057	685	506	65	73	102	56	93	100	101
UPK3BL	0	0	0	0	0	0	0	0	0	0	0
HSPE1	66	45	56	45	35	32	42	28	53	66	47
EBI3	2	5	2	15	13	6	13	12	7	3	9
CTTN	1116	1559	2432	2715	2902	3064	3821	2909	4333	3325	3721
NARG2	184	381	494	376	344	318	346	252	422	337	346
NOXRED1	74	122	158	64	20	22	42	21	21	28	20
EIF2S1	849	1095	1081	809	333	395	442	310	602	549	476
EIF2S3	303	395	652	813	674	810	1008	742	1182	1058	957
EIF2S2	428	408	324	362	147	217	196	146	275	225	251
C14orf39	88	121	145	87	7	16	11	6	8	8	6
TMEM222	430	735	507	511	320	423	370	318	802	479	468
TMEM223	39	83	87	76	76	70	75	72	156	132	114
TMEM220	148	230	207	207	198	321	263	214	337	284	255
GYG2	25	61	41	55	19	11	18	17	13	5	21
EFR3A	543	887	886	744	281	260	367	251	435	257	282
TMEM225	112	345	148	118	0	1	2	0	2	1	1
FAM189B	239	451	280	266	91	43	65	67	96	102	125
TPH1	6	14	14	12	2	3	1	1	5	5	2
TPH2	3	4	3	3	0	0	0	0	0	0	1
DDA1	319	639	490	479	285	364	317	235	470	350	367
TWIST2	9	18	8	23	21	7	17	10	9	8	17
DHTKD1	75	197	347	265	261	407	361	314	667	530	415
OSBPL1A	233	296	285	366	304	374	332	280	487	427	336
GAMT	474	400	772	744	765	1113	944	890	1732	1188	1092
DCTPP1	108	126	145	153	117	144	119	97	216	187	172
MICB	14	54	68	25	2	19	7	16	18	19	13
MICA	117	143	328	315	686	383	711	219	626	398	634
DHRS9	58	147	52	41	14	2	5	3	4	6	7
DHRS7	54	62	43	143	174	104	135	113	153	161	194
DHRS4	105	157	105	77	35	45	59	59	88	71	66
DHRS2	59	195	79	72	5	0	5	9	7	10	17
DHRS3	149	364	156	168	120	76	100	106	103	113	126
DHRS1	78	178	93	103	75	64	78	58	113	102	78
CACUL1	796	1285	1277	1090	606	726	780	549	981	793	715
NABP2	167	293	144	167	77	82	91	85	116	112	114
NABP1	204	327	415	282	319	357	311	234	481	538	373
DHRSX	0	0	0	0	0	0	0	0	0	0	0
TPO	11	28	14	76	68	31	40	17	48	12	38
ATIC	258	265	338	349	191	185	247	140	456	298	259
CCRN4L	20	65	65	60	18	22	38	16	33	19	28
TPR	1251	2684	2955	1773	890	995	1091	709	1363	1254	870
HRK	9	8	6	21	39	26	26	10	29	22	32
SNAI2	33	52	42	170	164	135	125	138	116	136	213
SNAI3	15	18	19	12	15	3	3	4	5	5	6
HRG	2	6	3	1	0	0	0	0	0	0	0
SNAI1	30	59	66	68	29	13	44	50	29	29	40
HRC	9	19	16	19	29	24	34	58	39	29	27
OSBPL10	451	911	677	676	422	582	618	327	981	700	505
OSBPL11	156	231	538	323	368	443	439	271	748	557	462
ECHS1	722	645	896	873	716	1010	882	661	1556	1036	933
AMELX	2	3	3	2	0	4	0	2	3	2	2
AMELY	2	0	2	1	0	0	0	0	0	0	0
SHKBP1	160	255	228	265	158	144	148	142	225	189	216
EN1	8	8	8	5	0	0	0	1	0	0	0
EN2	21	37	32	23	0	2	2	0	0	2	1
ENG	1004	2183	1330	4501	3406	3194	3592	6556	5937	3820	3594
LRTM1	1	0	1	0	2	0	2	1	0	1	1
FBRS	2058	4912	3426	2513	703	788	1233	655	1083	973	862
TOR2A	198	502	321	246	87	96	60	82	111	101	110
CDKAL1	73	148	150	139	78	63	86	71	109	95	94
CYP4B1	5	3	8	6	27	10	14	33	80	30	32
GPR75	5	17	44	25	51	33	39	29	44	40	22
FAM81B	646	1934	234	531	10	8	9	5	9	11	5
FLT4	133	265	201	234	110	52	132	147	75	77	102
GPR78	1	0	0	0	0	4	1	1	0	0	0
FLT1	315	766	401	430	257	219	315	352	228	203	195
PODN	180	513	180	1048	773	538	687	1062	1200	654	903
SET	549	801	882	962	648	730	772	537	968	963	1035
VKORC1	333	559	598	451	474	391	489	463	1260	702	645
PVALB	8	4	6	8	0	0	0	0	0	0	0
SUGP2	2558	5789	5306	4006	1353	1379	1719	1148	1699	1718	1462
SUGP1	556	869	549	472	174	187	202	165	279	240	211
COL25A1	253	505	202	209	19	6	6	6	7	11	5
ELMOD1	27	39	47	59	46	86	75	56	171	133	98
ELMOD3	175	306	268	322	251	218	282	213	251	281	242
ELMOD2	193	233	268	332	256	261	285	186	332	271	282
USP17L1P	0	0	2	0	1	0	0	0	0	0	0
CYP17A1	756	220	170	422	609	255	354	208	748	4949	2751
PRKX	161	286	468	410	378	539	578	349	910	606	493
OR14I1	0	2	2	1	0	0	1	0	0	0	0
ELAC1	101	151	141	132	103	119	103	64	152	110	108
ELAC2	470	766	627	722	396	930	624	341	910	878	763
FEM1B	643	1321	698	589	161	171	177	105	304	245	116
FEM1C	324	860	725	655	350	370	455	242	565	417	367
FEM1A	144	327	381	347	226	257	275	182	493	378	316
MS4A6A	34	35	12	116	121	52	101	63	53	56	150
METTL21D	173	230	195	149	84	133	127	67	107	124	90
METTL21C	0	6	2	2	0	0	0	0	0	0	0
METTL21B	38	118	88	130	102	77	134	99	147	160	131
METTL21A	61	106	69	66	23	26	29	21	22	42	17
OR8B2	2	7	2	1	0	0	0	1	0	0	0
CXorf49	0	0	0	0	0	0	0	0	0	0	0
CXorf48	11	24	13	6	0	1	0	1	1	0	1
PFKFB1	5	8	5	8	5	2	6	5	5	3	3
PFKFB3	235	637	810	773	457	487	1402	709	998	965	819
PFKFB2	132	354	254	199	162	162	213	167	238	222	196
PFKFB4	500	764	1330	1335	1280	2483	2025	1555	3208	2524	1870
ITPA	175	163	180	219	186	213	224	196	320	289	284
OR4X1	1	0	0	0	0	0	0	1	0	0	0
OR4X2	0	0	0	1	0	0	0	2	0	0	2
SCIN	80	230	121	86	8	4	4	3	8	5	7
PPP4R4	190	341	269	201	39	23	32	31	40	53	63
PPP4R1	1020	1838	1187	1237	502	460	540	353	626	596	508
PPP4R2	123	226	280	171	112	146	160	77	257	193	116
TMED10	1346	1914	2523	2596	2724	2766	2695	1918	4378	3315	3040
LTBR	132	249	244	356	492	541	430	559	1105	786	536
MAP3K8	9	18	24	48	19	15	81	45	29	38	30
MAP3K9	76	409	273	211	23	28	26	17	61	70	26
MAP3K2	463	565	886	628	429	567	565	374	613	593	508
MAP3K3	253	947	705	671	258	182	281	211	199	268	269
SLCO6A1	586	951	409	380	2	2	1	0	1	3	1
MAP3K1	237	333	695	481	458	570	590	322	870	671	501
MAP3K6	50	140	105	198	131	103	128	166	110	130	156
MAP3K7	334	440	578	581	470	579	569	320	755	739	486
MAP3K4	383	559	664	582	279	297	308	235	475	383	318
MAP3K5	276	408	610	568	660	715	579	361	1041	784	706
RBMY1A1	0	0	0	0	0	0	0	0	0	0	0
MARVELD1	101	184	171	412	400	279	458	481	563	423	362
MARVELD3	36	73	49	40	12	5	6	5	5	5	6
PET112	138	184	173	145	139	146	174	99	260	184	213
CCBP2	9	26	27	35	4	10	4	3	4	15	9
ZWILCH	867	1340	960	738	43	49	77	42	70	54	48
SETD9	187	649	280	190	33	39	54	34	66	47	52
SETD8	110	187	133	222	120	96	151	144	103	129	193
SETD3	1737	2802	2110	1783	481	691	625	513	1152	904	676
SETD2	529	1263	1688	1215	684	769	768	539	1146	980	817
SETD5	451	1330	1611	1604	1486	1518	1683	1135	1935	1783	1601
SETD4	364	680	502	526	224	288	304	214	377	287	279
SETD7	246	431	1119	1005	1488	1464	1394	863	2371	1628	1448
SETD6	127	217	239	249	139	206	220	198	284	292	267
PSRC1	130	154	163	253	241	221	311	336	408	232	309
DZIP3	1016	1537	1627	1030	356	348	379	253	395	474	306
DZIP1	1131	2311	986	1048	225	109	201	205	177	175	219
PRSS27	33	65	47	36	16	18	18	7	13	13	27
PRSS21	629	1086	808	529	1	7	5	11	15	10	2
PRSS22	3	3	4	2	0	0	1	1	0	0	1
PRSS23	543	719	1001	1211	1297	1411	1553	1240	2702	2026	1653
LXN	14	14	22	31	20	6	35	9	13	23	9
VENTX	21	30	22	46	27	12	28	24	17	36	54
KRTAP4-9	1	0	0	0	0	0	0	0	0	0	0
KRTAP4-8	1	0	0	0	0	0	0	0	0	0	0
KRTAP4-1	0	1	1	0	0	0	0	0	0	0	0
KRTAP4-3	0	0	0	0	0	0	0	0	0	0	0
KRTAP4-2	0	0	0	0	0	0	0	0	0	0	0
KRTAP4-5	0	0	0	0	0	0	0	0	0	0	0
KRTAP4-4	0	0	0	0	0	0	0	0	0	0	0
KRTAP4-7	0	2	0	1	0	0	0	1	0	0	2
KRTAP4-6	0	0	0	0	0	0	0	0	1	0	0
RRM2B	152	230	436	365	334	366	414	219	457	361	336
KRTAP12-1	1	0	0	0	0	0	0	0	0	0	0
KRTAP12-3	1	0	0	0	0	0	0	0	0	0	0
KRTAP12-2	0	0	0	0	0	0	0	0	0	0	0
TP53	116	241	471	389	414	589	534	400	1048	852	556
KRTAP12-4	0	2	0	0	0	0	0	0	0	0	0
ST8SIA6	0	9	4	5	1	1	3	1	1	1	4
ST8SIA5	17	45	22	25	6	2	5	8	2	25	10
ST8SIA4	5	7	17	26	27	11	19	9	18	13	14
ST8SIA2	11	26	34	12	1	0	1	3	0	2	2
ST8SIA1	33	57	24	36	5	3	4	2	4	11	5
FARS2	135	291	132	105	41	43	50	45	69	53	50
OR2A25	0	1	0	0	0	0	0	0	0	0	0
ALS2CR12	163	433	179	135	1	2	1	2	1	2	2
BTBD19	3	26	45	44	43	27	88	30	47	51	48
BTBD18	26	122	90	58	5	4	6	3	7	5	6
BTBD17	1	9	4	2	0	0	1	2	2	1	1
BTBD16	85	214	50	65	2	0	1	0	0	3	0
NLRX1	96	153	211	204	262	316	257	166	390	342	302
BTBD10	636	958	667	619	151	150	177	124	221	224	183
SRPRB	676	772	775	702	395	488	499	323	826	596	548
CTDNEP1	372	585	599	571	370	440	431	382	690	573	541
LOC100129480	1	4	4	3	3	3	3	4	3	5	1
MASTL	105	200	264	182	152	139	198	94	243	163	134
TPRX1	14	14	19	18	0	0	1	1	1	0	0
SC5DL	301	434	496	661	697	724	737	495	981	1091	943
WAC	958	2039	1931	1668	1096	1039	1161	956	1755	1469	1181
MAST1	117	258	164	111	4	4	2	4	5	2	5
MAST2	1272	4877	2624	2429	530	466	693	553	653	646	627
MAST3	104	251	213	244	134	70	147	127	148	129	151
MAST4	145	406	462	456	401	405	484	364	607	559	409
CD180	4	9	8	11	5	4	3	1	4	2	5
WAS	17	21	23	34	20	10	19	14	15	18	27
GALK1	154	122	231	174	128	247	249	259	366	283	271
GALK2	92	145	90	119	54	52	66	48	73	77	73
FARSB	414	488	387	355	117	132	155	125	194	177	165
FARSA	291	454	453	369	194	235	234	193	496	349	286
C9orf72	358	466	515	406	152	153	250	196	308	233	258
C9orf78	372	629	546	507	179	212	225	201	324	271	262
IL23A	79	153	92	74	2	3	3	3	2	3	5
IL23R	11	27	21	16	0	9	5	2	9	8	3
TLN2	185	569	694	503	198	241	320	221	506	358	277
PCDHGA11	7	21	17	17	12	9	10	9	23	8	9
PCDHGA12	3	13	5	12	20	13	15	24	28	27	5
TLN1	641	1828	2428	2681	2523	2480	2335	2132	4189	2899	2988
POLE4	236	175	194	175	152	193	142	127	284	236	202
POLE2	36	41	32	32	5	8	9	10	9	6	10
NXNL1	2	2	7	3	2	1	1	1	0	4	1
NTMT1	496	832	450	386	145	186	168	146	284	266	180
LCK	6	17	10	12	10	1	2	0	10	2	4
SECISBP2	1380	2310	1944	1640	318	480	483	386	619	574	448
TMEM167B	392	512	742	642	512	668	577	452	1046	900	721
TMEM167A	324	424	670	668	746	913	940	621	1249	1019	756
SLC27A1	322	633	786	771	468	879	792	712	1163	1055	1009
MUM1	1298	2314	1654	1545	714	551	685	665	642	662	628
PITRM1	504	1101	964	855	755	871	1035	530	978	1047	769
RNASEK	7	21	25	24	34	35	34	31	46	37	37
RNASEL	44	40	56	89	141	89	91	71	161	127	139
RNASE1	4813	7093	14404	12762	16409	17540	15483	11234	32790	15071	16516
RNASE3	5	4	6	3	0	1	0	0	0	0	0
RNASE2	2	3	3	1	1	1	4	0	1	0	1
RNASE4	184	143	288	326	331	346	426	347	686	470	512
RNASE7	3	3	1	1	2	1	1	0	1	0	0
RNASE6	9	9	7	61	56	38	27	34	30	25	43
